Elapsed time;First Thread Group 200 Users;Second Thread Group 150 Users;Third Thread Group 100 Users
00:10:05,0;1.0;;
00:10:05,500;2.482087227414327;;
00:10:06,0;4.308491142333532;;
00:10:06,500;5.993587002992727;;
00:10:07,0;7.792944141117174;;
00:10:07,500;10.459474566797097;;
00:10:08,0;12.13186416184971;;
00:10:08,500;13.75131164742917;;
00:10:09,0;15.960162301733678;;
00:10:09,500;18.169525731584244;;
00:10:10,0;19.990925074445844;;
00:10:10,500;22.052947052947058;;
00:10:11,0;23.535230984601032;;
00:10:11,500;26.162764350453187;;
00:10:12,0;28.096015676028745;;
00:10:12,500;30.317725752508363;;
00:10:13,0;32.02527202527204;;
00:10:13,500;33.73870967741932;;
00:10:14,0;36.114446529080595;;
00:10:14,500;38.08109052778767;;
00:10:15,0;40.100708502024276;;
00:10:15,500;42.178523035230356;;
00:10:16,0;44.13493975903607;;
00:10:16,500;46.22819237147599;;
00:10:17,0;48.22734871280523;;
00:10:17,500;50.14328694998122;;
00:10:18,0;52.15863309352512;;
00:10:18,500;54.194574681848664;;
00:10:19,0;56.16049074992522;;
00:10:19,500;58.14873200822479;;
00:10:20,0;60.22917466410748;;
00:10:20,500;62.28947368421053;;
00:10:21,0;64.05803409503086;;
00:10:21,500;66.18545697131425;;
00:10:22,0;68.15985630893553;;
00:10:22,500;70.12301013024592;;
00:10:23,0;72.20582120582115;;
00:10:23,500;74.1861089792787;;
00:10:24,0;76.11122047244092;;
00:10:24,500;78.0738552437222;;
00:10:25,0;80.11152925076978;;
00:10:25,500;82.18993216708323;;
00:10:26,0;84.19194724054155;;
00:10:26,500;86.10876451953536;;
00:10:27,0;88.11235059760963;;
00:10:27,500;89.97616256350156;;
00:10:28,0;92.13335550382429;;
00:10:28,500;94.05934065934068;;
00:10:29,0;96.12451635596206;;
00:10:29,500;98.03585196607547;;
00:10:30,0;100.00072859744995;;
00:10:30,500;102.1235578712319;;
00:10:31,0;104.07008368200835;;
00:10:31,500;106.00219860754864;;
00:10:32,0;108.03333333333316;;
00:10:32,500;110.22312983662935;;
00:10:33,0;112.03915111598975;;
00:10:33,500;114.11162636634648;;
00:10:34,0;116.11656228253308;;
00:10:34,500;117.96038803556998;;
00:10:35,0;120.19884099963781;;
00:10:35,500;122.20021684134441;;
00:10:36,0;124.18706293706293;;
00:10:36,500;126.28131590046394;;
00:10:37,0;128.21609886439526;;
00:10:37,500;130.26666341164636;;
00:10:38,0;132.2110891768945;;
00:10:38,500;134.2851270553064;;
00:10:39,0;136.22572062084248;;
00:10:39,500;138.21913293430623;;
00:10:40,0;140.161481999301;;
00:10:40,500;142.17840543439408;;
00:10:41,0;144.27586206896555;;
00:10:41,500;146.14703832752622;;
00:10:42,0;148.14040014039983;;
00:10:42,500;150.16605571847467;;
00:10:43,0;152.0081818181817;;
00:10:43,500;154.22493711821758;;
00:10:44,0;156.11838879159365;;
00:10:44,500;158.15437392795894;;
00:10:45,0;160.16658524670248;;
00:10:45,500;162.23466257668713;;
00:10:46,0;164.23315639036352;;
00:10:46,500;166.07131901840455;;
